Index,age,income,student,credit_rating,class
847,youth,low,yes,fair,yes
848,youth,high,no,fair,yes
849,senior,low,yes,excellent,yes
850,middle_age,medium,no,excellent,yes
851,youth,low,yes,excellent,yes
852,middle_age,high,no,excellent,no
853,senior,low,yes,fair,yes
854,youth,high,yes,excellent,yes
855,middle_age,medium,no,fair,no
856,middle_age,low,yes,excellent,no
857,middle_age,medium,no,excellent,no
858,senior,low,yes,fair,yes
859,youth,low,no,excellent,no
860,youth,high,no,excellent,no
861,senior,low,yes,excellent,no
862,youth,medium,no,fair,yes
863,middle_age,high,no,fair,yes
864,senior,medium,yes,excellent,yes
865,middle_age,medium,no,fair,yes
866,youth,high,yes,excellent,yes
867,middle_age,low,yes,excellent,no
868,youth,medium,no,fair,yes
869,senior,high,no,excellent,no
870,youth,low,no,excellent,no
871,youth,medium,no,excellent,yes
872,middle_age,high,yes,fair,no
873,middle_age,low,yes,fair,no
874,senior,high,yes,excellent,no
875,middle_age,medium,yes,fair,no
876,middle_age,high,no,excellent,no
877,senior,medium,yes,fair,yes
878,youth,medium,no,excellent,no
879,senior,low,yes,fair,no
880,youth,high,no,fair,no
881,senior,low,yes,fair,no
882,youth,medium,yes,excellent,yes
883,youth,medium,yes,fair,yes
884,middle_age,medium,yes,excellent,yes
885,senior,high,yes,excellent,no
886,senior,medium,yes,fair,yes
887,youth,medium,no,excellent,no
888,senior,high,yes,excellent,no
889,middle_age,medium,no,excellent,yes
890,youth,medium,no,excellent,yes
891,youth,low,no,excellent,yes
892,senior,high,yes,excellent,no
893,senior,low,no,excellent,no
894,senior,high,no,excellent,no
895,youth,high,yes,fair,yes
896,middle_age,low,yes,fair,yes
897,middle_age,low,no,excellent,yes
898,youth,high,no,fair,yes
899,middle_age,medium,yes,fair,no
900,youth,high,no,fair,no
901,middle_age,medium,no,fair,yes
902,senior,medium,yes,excellent,yes
903,senior,high,no,fair,yes
904,middle_age,medium,yes,fair,yes
905,youth,high,yes,excellent,yes
906,youth,medium,no,excellent,yes
907,youth,high,no,fair,no
908,middle_age,high,yes,fair,yes
909,middle_age,high,yes,excellent,no
910,middle_age,high,no,fair,no
911,senior,low,yes,fair,yes
912,middle_age,high,no,fair,no
913,youth,low,no,excellent,no
914,middle_age,low,no,fair,yes
915,senior,medium,no,fair,yes
916,youth,high,no,excellent,no
917,youth,medium,no,excellent,yes
918,senior,medium,no,excellent,yes
919,middle_age,high,yes,excellent,no
920,senior,low,yes,fair,yes
921,senior,low,yes,fair,no
922,youth,low,no,fair,yes
923,youth,medium,no,fair,yes
924,youth,low,yes,excellent,yes
925,senior,low,yes,excellent,no
926,middle_age,medium,no,excellent,no
927,youth,medium,yes,fair,yes
928,senior,high,yes,fair,yes
929,middle_age,high,yes,excellent,no
930,senior,medium,yes,excellent,no
931,middle_age,medium,yes,excellent,yes
932,senior,low,yes,excellent,no
933,senior,low,no,excellent,yes
934,senior,high,yes,fair,yes
935,youth,high,no,fair,no
936,youth,high,no,fair,no
937,senior,high,yes,fair,yes
938,youth,high,no,fair,yes
939,youth,high,yes,excellent,yes
940,senior,high,yes,excellent,no
941,senior,low,no,fair,yes
942,senior,high,no,excellent,no
943,middle_age,low,yes,fair,no
944,senior,low,yes,excellent,no
945,middle_age,medium,no,fair,no
946,middle_age,medium,yes,fair,no
947,youth,low,no,excellent,no
948,youth,high,no,excellent,no
949,middle_age,medium,no,excellent,no
950,senior,low,yes,fair,no
951,youth,high,yes,excellent,yes
952,senior,high,yes,fair,yes
953,senior,high,yes,excellent,no
954,senior,low,yes,excellent,no
955,senior,low,no,excellent,yes
956,senior,high,no,fair,no
957,senior,high,yes,excellent,no
958,middle_age,high,yes,fair,yes
959,senior,low,no,fair,yes
960,senior,high,yes,excellent,no
961,middle_age,low,yes,excellent,yes
962,youth,medium,no,fair,yes
963,senior,low,no,excellent,no
964,middle_age,low,yes,excellent,yes
965,senior,high,no,excellent,no
966,senior,high,yes,excellent,no
967,senior,medium,no,fair,no
968,middle_age,low,no,excellent,no
969,middle_age,medium,yes,fair,no
970,youth,low,yes,excellent,yes
971,youth,low,yes,fair,yes
972,middle_age,high,yes,fair,no
973,middle_age,high,yes,excellent,no
974,senior,medium,no,fair,yes
975,senior,medium,yes,fair,yes
976,youth,high,yes,fair,yes
977,senior,high,yes,fair,yes
978,youth,medium,yes,excellent,yes
979,senior,high,yes,excellent,no
980,youth,low,no,excellent,no
981,youth,low,no,fair,yes
982,senior,high,no,fair,no
983,middle_age,high,yes,fair,no
984,middle_age,low,yes,fair,yes
985,senior,high,no,fair,yes
986,youth,medium,yes,fair,yes
987,youth,medium,yes,fair,yes
988,senior,high,no,excellent,no
989,middle_age,low,no,fair,no
990,middle_age,medium,yes,excellent,yes
991,middle_age,medium,yes,fair,no
992,senior,high,no,excellent,no
993,youth,low,yes,fair,yes
994,senior,low,no,fair,no
995,middle_age,medium,yes,fair,no
996,senior,high,no,excellent,no
997,senior,medium,no,excellent,no
998,youth,medium,no,fair,no
999,senior,high,no,excellent,no
1000,middle_age,high,no,excellent,no
